CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1245,Male,35,118,56
1246,Female,54,91,63
1247,Female,62,16,3
1248,Female,49,22,49
1249,Female,53,89,55
1250,Female,34,139,26
1251,Male,52,52,99
1252,Female,66,41,72
1253,Female,28,34,52
1254,Female,38,57,100
1255,Male,69,45,7
1256,Female,43,105,46
1257,Female,21,75,46
1258,Male,51,123,100
1259,Female,69,105,16
1260,Male,65,109,24
1261,Male,35,27,61
1262,Male,57,127,54
1263,Male,52,49,62
1264,Male,58,62,1
1265,Female,46,49,49
1266,Male,69,100,25
1267,Male,46,128,10
1268,Female,55,114,80
1269,Male,59,113,16
1270,Female,38,17,58
1271,Female,59,99,72
1272,Female,30,139,29
1273,Male,66,97,92
1274,Male,58,39,6
1275,Male,34,82,16
1276,Female,26,75,20
1277,Male,58,43,80
1278,Male,18,141,71
1279,Male,19,33,78
1280,Female,65,88,43
1281,Female,46,75,26
1282,Male,50,34,90
1283,Male,27,62,78
1284,Male,67,101,71
1285,Male,57,124,33
1286,Female,38,42,26
1287,Female,45,73,45
1288,Female,28,147,84
1289,Female,51,65,63
1290,Male,25,26,67
1291,Male,39,64,52
1292,Male,25,146,68
1293,Female,66,127,26
1294,Male,32,28,75
1295,Female,34,46,2
1296,Female,40,69,14
1297,Male,41,134,30
1298,Male,62,89,49
1299,Male,36,35,12
1300,Female,22,147,90
1301,Male,49,101,44
1302,Female,61,73,33
1303,Male,18,103,13
1304,Female,40,97,78
1305,Female,54,79,88
1306,Male,25,78,98
1307,Female,30,85,26
1308,Female,25,18,21
1309,Male,40,118,28
1310,Female,60,107,48
1311,Male,18,126,100
1312,Female,62,133,40
1313,Male,68,73,66
1314,Male,41,57,73
1315,Female,52,26,87
1316,Female,41,54,79
1317,Female,34,132,77
1318,Female,22,34,23
1319,Female,37,145,81
1320,Male,38,104,48
1321,Female,57,108,2
1322,Male,48,27,84
1323,Male,63,80,20
1324,Female,53,51,59
1325,Male,28,80,46
1326,Male,69,50,3
1327,Male,32,40,55
1328,Male,36,89,12
1329,Female,24,122,40
1330,Male,68,57,66
1331,Female,45,22,100
1332,Female,68,43,78
1333,Male,60,54,16
1334,Female,22,142,83
1335,Female,22,98,34
1336,Female,47,130,44
1337,Male,49,76,6
1338,Female,25,21,77
1339,Female,27,59,64
1340,Female,55,102,100
1341,Male,64,87,22
1342,Female,49,51,18
1343,Male,65,133,12
1344,Male,45,71,52
1345,Male,34,22,94
1346,Male,48,109,51
1347,Male,25,131,71
1348,Male,57,124,96
1349,Female,42,34,48
1350,Male,26,138,19
1351,Female,19,67,6
1352,Female,32,133,84
1353,Male,67,26,27
1354,Female,20,31,53
1355,Female,66,78,48
1356,Female,53,56,7
1357,Female,21,108,59
1358,Male,31,25,69
1359,Female,58,112,11
1360,Male,58,85,15
1361,Female,42,122,64
1362,Female,67,72,3
1363,Male,27,48,69
1364,Female,38,34,23
1365,Female,53,64,53
1366,Female,29,116,37
1367,Male,44,66,9
1368,Female,57,29,15
1369,Male,19,98,3
1370,Female,30,145,93
1371,Male,49,51,70
1372,Male,48,140,17
1373,Female,33,54,26
1374,Female,49,86,21
1375,Male,49,54,72
1376,Male,51,70,21
1377,Female,28,118,11
1378,Male,27,124,38
1379,Female,32,107,72
1380,Female,34,108,88
1381,Female,57,70,35
1382,Female,35,74,14
1383,Male,26,53,14
1384,Female,42,42,10
1385,Male,57,63,12
1386,Female,31,139,38
1387,Male,42,27,34
1388,Female,67,50,41
1389,Male,39,115,10
1390,Male,69,40,17
1391,Female,47,100,17
1392,Female,37,18,67
1393,Female,38,96,62
1394,Female,61,141,95
1395,Male,49,102,1
1396,Female,68,141,12
1397,Male,63,134,4
1398,Male,66,36,42
1399,Female,38,144,13
1400,Male,52,45,98
1401,Male,49,133,85
1402,Male,47,25,86
1403,Male,56,60,4
1404,Female,66,110,82
1405,Female,29,24,69
1406,Female,58,142,19
1407,Female,64,113,2
1408,Male,35,126,12
1409,Male,38,74,81
1410,Female,30,101,74
1411,Female,38,79,98
1412,Female,25,71,6
1413,Male,63,120,8
1414,Female,57,23,51
1415,Female,63,36,11
1416,Female,24,103,63
1417,Male,40,32,57
1418,Male,61,129,12
1419,Male,49,120,73
1420,Male,28,29,2
1421,Male,39,77,8
1422,Male,39,27,11
1423,Male,60,95,53
1424,Male,42,46,100
1425,Female,39,54,10
1426,Female,45,96,85
1427,Male,46,91,84
1428,Male,30,90,8
1429,Female,35,52,36
1430,Male,19,85,93
1431,Male,46,62,76
1432,Male,38,32,14
1433,Female,32,53,54
1434,Female,69,103,85
1435,Female,44,76,86
1436,Female,67,123,21
1437,Female,48,95,50
1438,Male,32,148,94
1439,Female,68,91,39
1440,Male,40,104,20
1441,Male,41,28,88
1442,Female,61,109,87
1443,Female,30,68,7
1444,Male,39,146,9
1445,Male,60,53,1
1446,Male,54,86,26
1447,Female,50,39,38
1448,Female,20,91,38
1449,Female,36,134,61
1450,Female,40,67,44
1451,Female,46,145,86
1452,Male,47,110,44
1453,Female,56,86,74
1454,Male,61,76,62
1455,Male,64,20,6
1456,Male,42,46,17
1457,Female,54,113,51
1458,Female,64,145,38
1459,Female,25,90,24
1460,Male,59,73,51
1461,Male,33,45,10
1462,Male,25,107,72
1463,Male,18,83,21
1464,Male,61,66,70
1465,Male,22,103,85
1466,Female,20,141,57
1467,Female,18,45,39
1468,Female,21,98,88
1469,Female,57,141,33
1470,Male,52,146,59
1471,Male,49,27,18
1472,Female,59,59,56
1473,Male,51,141,92
1474,Female,60,128,57
1475,Female,42,34,96
1476,Female,27,95,76
1477,Male,38,143,48
1478,Female,63,31,42
1479,Female,56,72,27
1480,Female,44,86,74
1481,Male,44,123,52
1482,Male,19,37,42
1483,Female,58,86,32
1484,Male,65,22,26
1485,Male,30,73,25
1486,Male,26,125,75
1487,Male,69,27,23
1488,Male,53,30,98
1489,Male,39,133,57
1490,Male,59,16,52
1491,Male,43,44,87
1492,Male,29,117,93
1493,Male,34,27,31
1494,Female,31,110,64
1495,Female,31,108,71
1496,Male,51,96,33
1497,Female,37,27,85
1498,Female,28,108,2
1499,Male,33,126,18
1500,Male,68,69,47
1501,Male,48,95,33
1502,Female,23,130,98
1503,Female,36,122,84
1504,Male,54,67,35
1505,Male,21,142,51
1506,Male,64,71,18
1507,Female,21,66,88
1508,Female,37,125,72
1509,Female,27,15,30
1510,Female,41,58,44
1511,Male,52,89,53
1512,Male,43,112,10
1513,Male,54,23,87
1514,Male,55,46,52
1515,Female,38,29,49
1516,Female,57,86,11
1517,Male,56,26,66
1518,Male,38,79,58
1519,Female,27,121,90
1520,Male,55,56,36
1521,Female,63,129,33
1522,Male,21,117,47
1523,Male,62,109,13
1524,Male,37,31,40
1525,Male,34,99,89
1526,Male,24,70,68
1527,Male,21,148,42
1528,Male,46,100,19
1529,Female,31,116,82
1530,Female,20,68,94
1531,Female,41,129,19
1532,Female,54,102,58
1533,Female,33,63,23
1534,Male,69,129,54
1535,Male,21,77,80
1536,Female,41,118,65
1537,Male,51,97,12
1538,Female,47,117,24
1539,Female,35,31,34
1540,Male,36,20,53
1541,Male,48,42,8
1542,Male,36,52,18
1543,Female,66,133,57
1544,Male,63,51,5
1545,Female,36,129,26
1546,Female,39,82,30
1547,Female,41,57,54
1548,Male,62,72,13
1549,Male,29,27,83
1550,Female,47,66,29
1551,Male,55,72,3
1552,Male,48,46,90
1553,Male,53,119,58
1554,Female,36,97,76
1555,Female,65,113,2
1556,Male,62,118,75
1557,Female,53,42,28
1558,Male,47,143,82
1559,Male,66,62,77
1560,Male,50,54,86
1561,Male,35,111,76
1562,Female,69,128,2
1563,Female,66,146,7
1564,Female,45,125,26
1565,Male,64,90,90
1566,Male,28,45,88
1567,Male,62,133,76
1568,Female,50,39,16
1569,Male,34,48,23
1570,Female,23,81,40
1571,Female,21,132,60
1572,Female,37,87,73
1573,Female,65,40,32
1574,Female,64,118,15
1575,Female,44,24,13
1576,Male,32,81,5
1577,Male,23,19,75
1578,Female,64,41,74
1579,Female,31,127,52
1580,Male,28,29,77
1581,Female,56,119,41
1582,Female,26,58,53
1583,Male,43,40,50
1584,Female,33,109,15
1585,Female,22,98,7
1586,Female,69,146,40
1587,Male,27,101,28
1588,Male,67,126,32
1589,Male,20,143,99
1590,Female,30,103,15
1591,Female,60,80,100
1592,Male,66,145,85
1593,Female,47,136,70
1594,Female,62,98,65
1595,Female,23,130,4
1596,Female,34,130,11
1597,Female,62,52,26
1598,Male,68,124,61
1599,Female,36,60,37
1600,Male,59,39,23
1601,Female,52,35,93
1602,Male,63,135,85
1603,Female,43,136,91
1604,Male,68,147,40
1605,Female,22,84,77
1606,Male,46,127,23
1607,Female,54,121,16
1608,Male,37,126,94
1609,Female,66,122,61
1610,Male,38,61,68
1611,Male,27,105,80
1612,Female,22,32,31
1613,Female,53,118,53
1614,Male,23,54,25
1615,Female,43,103,44
1616,Male,21,75,12
1617,Male,56,19,90
1618,Male,56,136,97
1619,Female,67,69,92
1620,Male,52,51,9
1621,Male,18,70,12
1622,Female,41,116,69
1623,Female,53,107,54
1624,Female,23,87,54
1625,Female,58,73,28
1626,Male,63,16,56
1627,Male,61,118,99
1628,Male,48,65,69
1629,Male,37,44,98
1630,Female,41,25,98
1631,Male,42,122,77
1632,Male,53,90,58
1633,Female,38,104,78
1634,Male,47,137,75
1635,Male,41,139,42
1636,Male,61,136,38
1637,Male,59,108,68
1638,Male,47,117,53
1639,Male,39,45,33
1640,Female,45,66,71
1641,Female,24,103,56
1642,Male,52,90,72
1643,Male,45,143,51
1644,Female,31,36,74
1645,Male,27,54,43
1646,Male,33,115,15
1647,Male,33,125,38
1648,Female,48,143,15
1649,Male,59,79,5
1650,Female,42,93,93
1651,Male,30,36,83
1652,Female,23,113,54
1653,Female,61,22,51
1654,Male,26,31,10
1655,Female,62,31,12
1656,Male,53,104,4
1657,Female,60,95,95
1658,Male,37,92,18
1659,Male,35,20,80
1660,Female,60,124,36
1661,Male,38,28,25
1662,Male,21,86,87
1663,Female,67,68,76
1664,Male,50,41,98
1665,Male,44,27,36
1666,Female,24,74,67
1667,Female,23,20,9
1668,Male,32,72,61
1669,Male,35,63,53
1670,Female,49,40,18
1671,Female,28,61,43
1672,Male,37,19,35
1673,Female,41,34,63
1674,Male,32,148,98
1675,Male,65,73,78
1676,Male,24,146,4
1677,Male,38,31,93
1678,Male,59,28,41
1679,Female,43,27,45
1680,Female,61,149,50
1681,Female,31,142,79
1682,Female,54,58,28
1683,Male,38,133,42
1684,Male,35,33,80
1685,Male,22,77,76
1686,Male,20,95,69
1687,Female,40,114,98
1688,Male,43,136,1
1689,Male,54,58,39
1690,Female,41,118,96
1691,Female,66,75,90
1692,Female,36,139,17
1693,Female,68,85,91
1694,Male,42,121,88
1695,Male,38,64,35
1696,Female,29,79,46
1697,Male,58,113,42
1698,Male,50,46,39
1699,Male,67,72,90
1700,Female,21,142,49
1701,Male,59,126,62
1702,Female,24,82,38
1703,Male,39,54,23
1704,Male,50,146,22
1705,Male,34,104,4
1706,Female,41,42,49
1707,Male,51,110,59
1708,Female,45,45,73
1709,Female,60,17,68
1710,Female,58,38,71
1711,Male,56,29,87
1712,Male,39,59,2
1713,Male,66,22,49
1714,Male,34,85,88
1715,Female,51,122,95
1716,Female,23,129,31
1717,Female,63,117,40
1718,Male,23,139,48
1719,Female,51,71,51
1720,Male,18,44,43
1721,Female,27,128,98
1722,Male,38,131,55
1723,Male,22,74,88
1724,Female,19,112,49
1725,Female,39,140,90
1726,Female,65,108,80
1727,Female,19,148,57
1728,Male,27,136,77
1729,Female,51,122,15
1730,Female,33,18,27
1731,Female,65,107,68
1732,Male,68,20,80
1733,Male,56,46,64
1734,Female,39,120,94
1735,Male,29,29,30
1736,Female,41,136,36
1737,Male,64,110,67
1738,Male,57,20,86
1739,Male,55,126,86
1740,Male,27,134,49
1741,Female,52,137,76
1742,Female,68,81,55
1743,Female,66,120,85
1744,Male,49,57,56
1745,Female,24,110,68
1746,Female,38,146,95
1747,Female,37,95,44
1748,Male,43,55,31
1749,Male,21,147,58
1750,Male,63,49,87
1751,Female,69,36,53
1752,Female,39,126,84
1753,Female,32,25,79
1754,Male,57,17,23
1755,Male,38,74,28
1756,Female,32,90,16
1757,Male,39,101,37
1758,Male,69,28,21
1759,Male,45,32,79
1760,Male,31,127,17
1761,Female,44,87,37
1762,Male,58,37,77
1763,Male,57,97,19
1764,Male,45,139,30
1765,Male,43,83,45
1766,Female,66,61,18
1767,Female,19,130,78
1768,Male,42,44,62
1769,Male,20,39,36
1770,Male,25,126,100
1771,Male,61,39,84
1772,Male,50,88,52
1773,Male,59,72,19
1774,Female,69,108,44
1775,Male,52,133,7
1776,Female,23,141,44
1777,Female,56,39,68
1778,Male,69,92,34
1779,Female,40,113,66
1780,Female,42,130,69
1781,Female,67,62,55
1782,Female,60,24,10
1783,Female,36,113,96
1784,Female,22,25,42
1785,Male,68,99,41
1786,Female,28,149,77
1787,Female,29,140,69
1788,Female,27,78,10
1789,Male,25,16,10
1790,Female,41,90,91
1791,Male,45,135,60
1792,Female,58,56,51
1793,Male,53,68,21
1794,Male,54,89,8
1795,Female,38,30,65
1796,Female,25,32,92
1797,Male,26,104,78
1798,Female,64,20,85
1799,Male,32,122,30
1800,Male,65,62,85
1801,Male,63,56,49
1802,Male,57,90,9
1803,Male,35,91,17
1804,Female,59,146,69
1805,Male,37,144,58
1806,Male,23,73,57
1807,Female,29,41,62
1808,Male,19,93,95
1809,Female,24,86,52
1810,Female,33,21,61
1811,Female,20,125,40
1812,Male,62,133,38
1813,Male,20,77,43
1814,Male,44,138,63
1815,Female,67,26,19
1816,Male,60,57,100
1817,Female,57,31,50
1818,Male,55,77,33
1819,Female,50,134,13
1820,Male,45,50,78
1821,Male,18,22,97
1822,Male,25,83,62
1823,Female,54,104,93
1824,Female,49,50,43
1825,Male,65,42,49
1826,Male,60,132,36
1827,Female,54,107,10
1828,Female,21,90,95
1829,Female,47,115,6
1830,Male,23,28,57
1831,Female,63,85,1
1832,Male,36,138,71
1833,Female,49,139,58
1834,Male,26,51,91
1835,Female,29,43,21
1836,Female,28,33,92
1837,Female,63,120,80
1838,Female,33,35,56
1839,Female,18,78,87
1840,Male,62,41,20
1841,Female,38,69,54
1842,Female,47,43,25
1843,Female,30,39,28
1844,Male,51,84,5
1845,Female,21,77,21
1846,Male,45,144,18
1847,Female,55,30,47
1848,Female,48,114,70
1849,Male,44,44,57
1850,Female,22,59,93
1851,Male,42,33,19
1852,Male,20,48,97
1853,Female,50,76,65
1854,Male,21,132,3
1855,Female,42,114,42
1856,Female,37,36,21
1857,Male,51,125,99
1858,Male,43,87,40
1859,Male,22,52,67
1860,Male,52,84,25
1861,Female,45,130,55
1862,Female,46,93,84
1863,Male,26,23,52
1864,Female,69,46,44
1865,Female,55,146,98
1866,Female,67,64,85
1867,Female,23,96,56
1868,Male,36,19,55
1869,Male,61,101,87
1870,Female,28,140,70
1871,Male,19,89,77
1872,Male,64,36,87
1873,Male,61,82,73
1874,Female,61,58,81
1875,Female,26,48,66
1876,Female,38,91,19
1877,Male,41,56,83
1878,Female,51,120,7
1879,Female,39,109,63
1880,Male,20,149,42
1881,Female,29,82,42
1882,Female,45,142,59
1883,Male,47,99,20
1884,Male,43,97,73
1885,Male,65,109,17
1886,Female,38,46,27
1887,Female,45,80,47
1888,Female,43,130,2
1889,Male,50,144,63
1890,Male,38,74,62
1891,Female,52,31,100
1892,Female,69,110,19
1893,Male,51,30,17
1894,Male,58,60,69
1895,Male,68,121,39
1896,Male,64,102,82
1897,Female,35,143,71
1898,Male,28,133,81
1899,Female,40,99,39
1900,Female,65,18,36
1901,Female,39,85,40
1902,Male,34,125,45
1903,Male,22,64,4
1904,Male,61,109,25
1905,Male,28,106,69
1906,Female,47,79,30
1907,Male,32,61,76
1908,Male,44,120,68
1909,Female,52,144,88
1910,Male,50,120,29
1911,Female,37,38,73
1912,Female,33,18,68
1913,Female,51,122,51
1914,Female,19,33,24
1915,Female,52,54,14
1916,Female,57,64,69
1917,Female,45,89,18
1918,Female,64,26,42
1919,Male,56,41,57
1920,Male,23,127,83
1921,Male,26,63,12
1922,Male,37,144,82
1923,Female,18,74,17
1924,Male,25,44,30
1925,Female,40,98,88
1926,Male,20,42,75
1927,Male,21,39,99
1928,Male,42,110,23
1929,Female,64,139,81
1930,Male,55,24,1
1931,Female,32,56,79
1932,Female,38,54,32
1933,Male,52,91,9
1934,Male,63,119,15
1935,Male,69,132,28
1936,Female,31,56,24
1937,Male,53,61,60
1938,Female,29,36,35
1939,Female,34,121,86
1940,Male,56,41,27
1941,Male,26,55,83
1942,Female,52,94,76
1943,Female,30,103,20
1944,Female,32,80,65
1945,Male,35,26,85
1946,Female,68,87,49
1947,Male,50,90,1
1948,Female,23,104,10
1949,Female,44,24,47
1950,Male,40,110,59
1951,Female,44,34,96
1952,Male,51,53,62
1953,Male,63,74,86
1954,Female,55,80,18
1955,Male,31,79,46
1956,Male,53,138,32
1957,Female,25,144,27
1958,Male,52,71,92
1959,Male,36,92,18
1960,Male,47,43,39
1961,Female,31,29,49
1962,Male,37,26,93
1963,Female,66,115,82
1964,Female,42,98,44
1965,Male,57,139,72
1966,Male,41,117,54
1967,Male,31,38,95
1968,Female,43,124,34
1969,Male,55,92,71
1970,Male,40,115,36
1971,Male,39,142,18
1972,Male,65,72,38
1973,Male,36,90,59
1974,Female,63,50,9
1975,Female,68,36,73
1976,Male,20,141,72
1977,Male,59,94,51
1978,Male,36,114,35
1979,Male,26,110,82
1980,Female,45,32,5
1981,Male,37,52,14
1982,Female,62,123,92
1983,Female,24,137,30
1984,Male,31,118,4
1985,Female,26,95,39
1986,Female,36,101,84
1987,Female,64,75,64
1988,Female,69,60,25
1989,Male,31,46,28
1990,Male,55,29,76
1991,Female,53,58,66
1992,Male,57,68,78
1993,Male,34,58,22
1994,Male,47,112,31
1995,Male,26,19,23
1996,Male,50,123,48
1997,Female,69,41,20
1998,Male,42,130,38
1999,Male,31,101,55
2000,Male,28,118,68
